2024-03-26 19:21:40,696 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,697 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,699 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,700 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,701 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,703 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,704 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,705 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,707 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,708 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,709 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,710 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,712 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,713 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,714 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,716 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,717 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,718 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,719 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,721 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,722 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,723 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,724 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,726 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,727 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,728 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,730 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,731 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,732 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,734 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,735 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,736 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,737 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,738 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,740 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,741 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,742 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,744 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,745 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
2024-03-26 19:21:40,746 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
